Site,Treatment,Plot,Trap,Species,Family,Growthform,Dispersalmode,SuccessionalStage,SeedSize,seedsSum,seedSizeCat,Seed_deposition_rate
BB,C,A,0,BAC_TRI,Asteraceae,Shrub,Wind-dispersed,Early,NA,142,shrubs,189.3333333
BB,C,A,0,CAL_URT,Asteraceae,Shrub,Wind-dispersed,Early,NA,92,shrubs,122.6666667
BB,C,A,0,CEC_OBT,Urticaceae,CT,Animal-dispersed,Early,1,3,<5 mm trees,4
BB,C,A,0,CEC_PEL,Urticaceae,CT,Animal-dispersed,Both,1,1,<5 mm trees,1.333333333
BB,C,A,0,CON_XAL,Melastomataceae,CT,Animal-dispersed,Early,1,4861,<5 mm trees,6481.333333
BB,C,A,0,HEL_APP,Malvaceae,CT,Wind-dispersed,Early,1,102,<5 mm trees,136
BB,C,A,0,HET_VIT,Asteraceae,Shrub,Wind-dispersed,Early,NA,189,shrubs,252
BB,C,A,0,KOA_PIT,Asteraceae,CT,Wind-dispersed,Early,1,11,<5 mm trees,14.66666667
BB,C,A,0,LIP_MYR,Verbenaceae,CT,Wind-dispersed,Early,1,35,<5 mm trees,46.66666667
BB,C,A,0,MIC_TRI,Melastomataceae,CT,Animal-dispersed,Early,1,8,<5 mm trees,10.66666667
BB,C,A,0,MON_PIT,Polygalaceae,Shrub,Animal-dispersed,Early,1,39,shrubs,52
BB,C,A,0,MYR_COR,Primulaceae,CT,Animal-dispersed,Early,1,1,<5 mm trees,1.333333333
BB,C,A,0,RUB_ROS,Rosaceae,Shrub,Animal-dispersed,Early,1,45,shrubs,60
BB,C,A,0,RUB_URT,Rosaceae,Shrub,Animal-dispersed,Early,1,2,shrubs,2.666666667
BB,C,A,0,SOL_ERY,Solanaceae,Shrub,Animal-dispersed,Early,1,1,shrubs,1.333333333
BB,C,A,0,SOL_NUD,Solanaceae,Shrub,Animal-dispersed,Early,1,1,shrubs,1.333333333
BB,C,A,0,SOL_TOR,Solanaceae,Shrub,Animal-dispersed,Early,1,9,shrubs,12
BB,C,A,0,VER_ARB,Asteraceae,Shrub,Wind-dispersed,Early,NA,2229,shrubs,2972
BB,C,A,0,VER_PAT,Asteraceae,Shrub,Wind-dispersed,Early,NA,127,shrubs,169.3333333
BB,C,A,0,VER_TUR,Asteraceae,Shrub,Wind-dispersed,Early,NA,3,shrubs,4
BB,C,A,0,VIS_BAC,Hypericaceae,UT,Animal-dispersed,Early,1,11,<5 mm trees,14.66666667
BB,C,A,0,ZEX_VIR,Asteraceae,Shrub,Wind-dispersed,Early,NA,8,shrubs,10.66666667
BB,C,A,3,BAC_TRI,Asteraceae,Shrub,Wind-dispersed,Early,NA,1370,shrubs,1826.666667
BB,C,A,3,CAL_URT,Asteraceae,Shrub,Wind-dispersed,Early,NA,274,shrubs,365.3333333
BB,C,A,3,CEC_OBT,Urticaceae,CT,Animal-dispersed,Early,1,6,<5 mm trees,8
BB,C,A,3,CEC_PEL,Urticaceae,CT,Animal-dispersed,Both,1,7,<5 mm trees,9.333333333
BB,C,A,3,CON_XAL,Melastomataceae,CT,Animal-dispersed,Early,1,5292,<5 mm trees,7056
BB,C,A,3,CRO_DRA,Euphorbiaceae,CT,Animal-dispersed,Early,1,1,<5 mm trees,1.333333333
BB,C,A,3,HEL_APP,Malvaceae,CT,Wind-dispersed,Early,1,71,<5 mm trees,94.66666667
BB,C,A,3,HET_VIT,Asteraceae,Shrub,Wind-dispersed,Early,NA,116,shrubs,154.6666667
BB,C,A,3,KOA_PIT,Asteraceae,CT,Wind-dispersed,Early,1,6,<5 mm trees,8
